mod_pres_stu,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,course_length,date_registration,date_unregistration,status,prop_submissions,avg_score,submission_distance,stu_activity_count,stu_activity_type_count,stu_total_clicks,stu_days_active,mod_pres_vle_type_count,year,month,subject,final_result
BBB-2013J-2459051,F,North Western Region,Lower Than A Level,10-20,35-55,1,60,N,268,-60.0,268.0,keep,0.1111111111111111,0.0,887.0,25,6,52,4,10,2013,Oct,SocSci,Fail
BBB-2013J-2460002,F,South Region,HE Qualification,60-70%,0-35,0,60,N,268,-30.0,268.0,keep,0.2222222222222222,18.444444444444443,833.0,17,5,132,3,10,2013,Oct,SocSci,Fail
BBB-2013J-2463213,F,East Anglian Region,Lower Than A Level,60-70%,35-55,0,90,N,268,-148.0,268.0,keep,1.0,91.77777777777777,0.0,1356,8,10257,188,10,2013,Oct,SocSci,Pass
BBB-2013J-2463950,F,London Region,A Level or Equivalent,60-70%,0-35,1,120,N,268,-144.0,268.0,keep,1.0,83.11111111111111,0.0,162,8,344,50,10,2013,Oct,SocSci,Pass
BBB-2013J-2464683,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,90,Y,268,-67.0,268.0,keep,1.0,80.77777777777777,0.0,613,8,1388,59,10,2013,Oct,SocSci,Pass
BBB-2013J-2468280,F,Wales,A Level or Equivalent,20-30%,0-35,0,60,N,268,-170.0,268.0,keep,1.0,85.33333333333333,0.0,37,6,88,7,10,2013,Oct,SocSci,Pass
BBB-2013J-2468706,F,Scotland,HE Qualification,70-80%,35-55,0,75,N,268,-32.0,268.0,keep,1.0,89.44444444444444,0.0,223,7,600,41,10,2013,Oct,SocSci,Distinction
BBB-2013J-2473780,F,Scotland,HE Qualification,20-30%,0-35,0,60,N,268,-100.0,268.0,keep,1.0,91.44444444444444,0.0,528,9,1462,94,10,2013,Oct,SocSci,Distinction
BBB-2013J-2510414,M,London Region,Lower Than A Level,0-10%,35-55,0,60,N,268,-129.0,268.0,keep,1.0,59.55555555555556,0.0,51,7,130,9,10,2013,Oct,SocSci,Fail
BBB-2013J-2514379,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,268,-60.0,268.0,keep,1.0,71.0,0.0,74,7,181,19,10,2013,Oct,SocSci,Fail
BBB-2013J-2528352,F,West Midlands Region,Lower Than A Level,10-20,0-35,2,60,N,268,-128.0,268.0,keep,0.5555555555555556,35.44444444444444,594.0,54,7,105,17,10,2013,Oct,SocSci,Fail
BBB-2013J-2529306,F,London Region,No Formal quals,50-60%,0-35,1,60,N,268,-36.0,268.0,keep,1.0,73.66666666666667,0.0,92,7,238,21,10,2013,Oct,SocSci,Fail
BBB-2013J-2532647,F,Scotland,Lower Than A Level,40-50%,0-35,0,60,N,268,-25.0,268.0,keep,1.0,74.55555555555556,0.0,96,8,187,28,10,2013,Oct,SocSci,Fail
BBB-2013J-2539858,M,South West Region,A Level or Equivalent,20-30%,35-55,0,180,N,268,-31.0,268.0,keep,1.0,91.44444444444444,0.0,675,9,2069,115,10,2013,Oct,SocSci,Distinction
BBB-2013J-2540724,M,South Region,HE Qualification,40-50%,35-55,1,180,N,268,-65.0,268.0,keep,1.0,89.44444444444444,0.0,413,9,1104,73,10,2013,Oct,SocSci,Distinction
BBB-2013J-2544448,F,Wales,Lower Than A Level,0-10%,0-35,0,60,N,268,-30.0,268.0,keep,0.5555555555555556,34.22222222222222,524.0,198,8,425,40,10,2013,Oct,SocSci,Fail
BBB-2013J-2550290,F,Wales,A Level or Equivalent,10-20,0-35,0,120,N,268,-58.0,268.0,keep,0.5555555555555556,38.55555555555556,594.0,71,5,235,14,10,2013,Oct,SocSci,Fail
BBB-2013J-2553890,F,East Midlands Region,Lower Than A Level,70-80%,0-35,0,60,N,268,-53.0,268.0,keep,0.8888888888888888,63.22222222222222,96.0,439,7,936,94,10,2013,Oct,SocSci,Pass
BBB-2013J-2564744,F,South West Region,Lower Than A Level,50-60%,35-55,0,60,N,268,-32.0,268.0,keep,0.8888888888888888,57.111111111111114,54.0,39,5,88,8,10,2013,Oct,SocSci,Pass
BBB-2013J-2567158,F,West Midlands Region,A Level or Equivalent,50-60%,35-55,0,180,N,268,-120.0,268.0,keep,1.0,68.77777777777777,0.0,383,7,731,132,10,2013,Oct,SocSci,Pass
BBB-2013J-2573353,F,Yorkshire Region,Lower Than A Level,10-20,35-55,0,60,N,268,-74.0,268.0,keep,0.5555555555555556,34.111111111111114,594.0,202,7,433,56,10,2013,Oct,SocSci,Fail
BBB-2013J-2575994,F,West Midlands Region,A Level or Equivalent,0-10%,35-55,0,60,N,268,-116.0,268.0,keep,1.0,69.33333333333333,0.0,43,5,136,9,10,2013,Oct,SocSci,Fail
BBB-2013J-2578802,F,Yorkshire Region,Lower Than A Level,60-70%,0-35,0,120,N,268,-18.0,268.0,keep,0.8888888888888888,75.11111111111111,166.0,255,8,524,47,10,2013,Oct,SocSci,Pass
BBB-2013J-2579673,F,South West Region,Lower Than A Level,0-10%,35-55,2,60,N,268,-11.0,268.0,keep,0.7777777777777778,45.22222222222222,332.0,38,6,75,9,10,2013,Oct,SocSci,Fail
BBB-2013J-2583791,F,London Region,Lower Than A Level,10-20,35-55,0,60,N,268,-121.0,268.0,keep,1.0,58.0,0.0,140,7,317,23,10,2013,Oct,SocSci,Fail
BBB-2013J-2584834,F,East Anglian Region,Lower Than A Level,50-60%,35-55,1,60,Y,268,-60.0,268.0,keep,1.0,82.22222222222223,0.0,132,8,421,41,10,2013,Oct,SocSci,Pass
BBB-2013J-2585937,F,Scotland,A Level or Equivalent,0-10%,0-35,1,165,Y,268,-80.0,268.0,keep,1.0,82.11111111111111,0.0,129,7,315,29,10,2013,Oct,SocSci,Pass
BBB-2013J-2587329,F,Yorkshire Region,A Level or Equivalent,60-70%,35-55,0,120,N,268,-22.0,268.0,keep,1.0,86.11111111111111,0.0,416,8,1338,88,10,2013,Oct,SocSci,Pass
BBB-2013J-2588742,F,East Midlands Region,Lower Than A Level,90-100%,0-35,2,60,N,268,-71.0,268.0,keep,1.0,75.22222222222223,0.0,114,7,264,48,10,2013,Oct,SocSci,Pass
BBB-2013J-2607641,M,Ireland,A Level or Equivalent,50-60%,0-35,0,60,N,268,-3.0,268.0,keep,1.0,84.44444444444444,0.0,228,7,502,51,10,2013,Oct,SocSci,Pass
BBB-2013J-2617839,F,Wales,A Level or Equivalent,70-80%,0-35,0,60,N,268,-29.0,268.0,keep,1.0,86.88888888888889,0.0,116,8,264,26,10,2013,Oct,SocSci,Pass
BBB-2013J-2619107,F,Scotland,A Level or Equivalent,60-70%,0-35,0,60,N,268,-84.0,268.0,keep,1.0,89.66666666666667,0.0,129,7,387,32,10,2013,Oct,SocSci,Distinction
BBB-2013J-2625315,F,Yorkshire Region,A Level or Equivalent,30-40%,0-35,0,60,N,268,-59.0,268.0,keep,0.3333333333333333,26.444444444444443,786.0,375,8,3744,47,10,2013,Oct,SocSci,Fail
BBB-2013J-2638377,M,South Region,A Level or Equivalent,30-40%,0-35,0,60,N,268,-56.0,268.0,keep,1.0,88.55555555555556,0.0,314,7,822,87,10,2013,Oct,SocSci,Pass
BBB-2013J-2638818,F,South Region,A Level or Equivalent,60-70%,0-35,0,120,N,268,-44.0,268.0,keep,1.0,81.88888888888889,0.0,586,9,1447,119,10,2013,Oct,SocSci,Distinction
BBB-2013J-2642717,M,South East Region,Lower Than A Level,30-40%,35-55,0,120,N,268,-42.0,268.0,keep,1.0,86.66666666666667,0.0,595,9,1841,110,10,2013,Oct,SocSci,Pass
BBB-2013J-2662716,F,East Anglian Region,Lower Than A Level,50-60%,0-35,0,60,N,268,-99.0,268.0,keep,0.3333333333333333,15.444444444444445,744.0,72,7,147,20,10,2013,Oct,SocSci,Fail
BBB-2013J-2664036,F,London Region,A Level or Equivalent,60-70%,0-35,0,120,N,268,-25.0,268.0,keep,0.1111111111111111,5.111111111111111,887.0,2,2,3,2,10,2013,Oct,SocSci,Fail
BBB-2013J-2680344,F,Scotland,HE Qualification,80-90%,35-55,0,60,N,268,-25.0,268.0,keep,1.0,83.77777777777777,0.0,543,10,1624,104,10,2013,Oct,SocSci,Pass
BBB-2013J-2680885,F,South Region,Lower Than A Level,50-60%,0-35,0,60,Y,268,-141.0,268.0,keep,0.8888888888888888,77.77777777777777,96.0,70,6,142,17,10,2013,Oct,SocSci,Distinction
BBB-2013J-2691100,F,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,120,N,268,-141.0,268.0,keep,1.0,60.77777777777778,0.0,191,7,502,54,10,2013,Oct,SocSci,Pass
BBB-2013J-2691566,F,North Region,Lower Than A Level,0-10%,0-35,0,60,N,268,-109.0,268.0,keep,1.0,69.22222222222223,0.0,49,7,149,11,10,2013,Oct,SocSci,Fail
BBB-2014B-50069,F,Scotland,A Level or Equivalent,30-40%,0-35,0,90,N,234,-134.0,234.0,keep,0.5454545454545454,46.27272727272727,774.0,196,7,483,25,10,2014,Feb,SocSci,Fail
BBB-2014B-52426,F,Scotland,Lower Than A Level,70-80%,35-55,1,60,N,234,-32.0,234.0,keep,0.45454545454545453,33.18181818181818,926.0,31,6,68,5,10,2014,Feb,SocSci,Fail
BBB-2014B-55968,F,Wales,Lower Than A Level,10-20,0-35,0,120,N,234,-29.0,234.0,keep,0.5454545454545454,36.72727272727273,809.0,192,7,575,46,10,2014,Feb,SocSci,Fail
BBB-2014B-59725,F,Wales,HE Qualification,40-50%,35-55,0,120,N,234,-29.0,234.0,keep,1.0,82.63636363636364,0.0,263,8,809,64,10,2014,Feb,SocSci,Distinction
BBB-2014B-60416,F,East Anglian Region,Lower Than A Level,60-70%,0-35,1,60,N,234,-64.0,234.0,keep,1.0,83.18181818181819,0.0,897,8,4593,188,10,2014,Feb,SocSci,Pass
BBB-2014B-60830,F,South Region,HE Qualification,60-70%,0-35,0,120,N,234,-32.0,234.0,keep,0.9090909090909091,74.63636363636364,194.0,379,9,1250,75,10,2014,Feb,SocSci,Pass
BBB-2014B-63721,F,South East Region,Lower Than A Level,80-90%,0-35,0,60,Y,234,-73.0,234.0,keep,0.9090909090909091,76.36363636363636,194.0,369,7,768,65,10,2014,Feb,SocSci,Distinction
BBB-2014B-64275,F,West Midlands Region,Lower Than A Level,0-10%,0-35,2,60,Y,234,-26.0,234.0,keep,0.9090909090909091,68.27272727272727,152.0,69,6,178,20,10,2014,Feb,SocSci,Pass
BBB-2014B-72400,F,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,120,Y,234,-221.0,234.0,keep,1.0,84.81818181818181,0.0,211,7,398,34,10,2014,Feb,SocSci,Distinction
BBB-2014B-89092,F,Wales,Lower Than A Level,50-60%,0-35,2,60,N,234,-30.0,234.0,keep,1.0,62.54545454545455,0.0,96,7,179,19,10,2014,Feb,SocSci,Pass
BBB-2014B-89778,M,South East Region,A Level or Equivalent,70-80%,0-35,1,120,N,234,-121.0,234.0,keep,1.0,92.27272727272727,0.0,60,6,133,11,10,2014,Feb,SocSci,Distinction
BBB-2014B-90361,F,Wales,HE Qualification,20-30%,35-55,0,60,N,234,-36.0,234.0,keep,0.9090909090909091,69.72727272727273,152.0,83,7,171,18,10,2014,Feb,SocSci,Pass
BBB-2014B-92341,F,North Western Region,Lower Than A Level,40-50%,0-35,2,60,N,234,-24.0,234.0,keep,0.45454545454545453,36.81818181818182,926.0,270,8,957,54,10,2014,Feb,SocSci,Fail
BBB-2014B-97006,F,East Anglian Region,A Level or Equivalent,60-70%,35-55,1,60,N,234,-102.0,234.0,keep,0.8181818181818182,73.45454545454545,234.0,65,7,176,12,10,2014,Feb,SocSci,Pass
BBB-2014B-99799,F,East Midlands Region,A Level or Equivalent,10-20,0-35,1,120,N,234,-41.0,234.0,keep,0.9090909090909091,69.0,152.0,242,8,544,50,10,2014,Feb,SocSci,Pass
BBB-2014B-103535,F,South West Region,A Level or Equivalent,40-50%,0-35,0,120,N,234,-165.0,234.0,keep,1.0,85.72727272727273,0.0,129,8,327,23,10,2014,Feb,SocSci,Pass
BBB-2014B-108799,F,Scotland,Post Graduate Qualification,90-100%,35-55,0,75,N,234,-138.0,234.0,keep,1.0,88.9090909090909,0.0,155,8,386,35,10,2014,Feb,SocSci,Distinction
BBB-2014B-115452,F,East Anglian Region,Lower Than A Level,30-40%,0-35,1,120,N,234,-113.0,234.0,keep,0.8181818181818182,74.63636363636364,346.0,269,7,588,67,10,2014,Feb,SocSci,Fail
BBB-2014B-117699,F,South Region,A Level or Equivalent,40-50%,0-35,0,120,N,234,-236.0,234.0,keep,1.0,87.0909090909091,0.0,214,7,404,48,10,2014,Feb,SocSci,Distinction
BBB-2014B-119471,F,East Midlands Region,Lower Than A Level,0-10%,35-55,1,120,N,234,-66.0,234.0,keep,1.0,67.36363636363636,0.0,265,8,552,67,10,2014,Feb,SocSci,Fail
BBB-2014B-123270,F,North Western Region,Lower Than A Level,50-60%,35-55,0,60,N,234,-123.0,234.0,keep,0.36363636363636365,23.818181818181817,973.0,52,7,145,15,10,2014,Feb,SocSci,Fail
BBB-2014B-123462,M,Scotland,HE Qualification,80-90%,0-35,1,120,N,234,-71.0,234.0,keep,0.9090909090909091,76.9090909090909,152.0,413,9,990,57,10,2014,Feb,SocSci,Pass
BBB-2014B-125055,F,East Midlands Region,A Level or Equivalent,0-10%,0-35,0,60,Y,234,-57.0,234.0,keep,0.8181818181818182,67.63636363636364,269.0,266,7,825,48,10,2014,Feb,SocSci,Pass
BBB-2014B-126608,M,Wales,A Level or Equivalent,40-50%,0-35,0,60,N,234,-24.0,234.0,keep,1.0,61.18181818181818,0.0,148,7,436,31,10,2014,Feb,SocSci,Pass
BBB-2014B-126713,F,London Region,A Level or Equivalent,0-10%,0-35,0,120,N,234,-18.0,234.0,keep,0.9090909090909091,68.63636363636364,194.0,121,7,252,51,10,2014,Feb,SocSci,Pass
BBB-2014B-130013,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,Y,234,-71.0,234.0,keep,1.0,77.45454545454545,0.0,117,7,241,22,10,2014,Feb,SocSci,Pass
BBB-2014B-132972,F,London Region,Lower Than A Level,20-30%,0-35,0,240,N,234,-23.0,234.0,keep,0.8181818181818182,64.45454545454545,269.0,72,7,168,16,10,2014,Feb,SocSci,Pass
BBB-2014B-139250,F,Scotland,A Level or Equivalent,20-30%,0-35,0,60,N,234,-52.0,234.0,keep,1.0,92.54545454545455,0.0,180,8,482,54,10,2014,Feb,SocSci,Distinction
BBB-2014B-140719,F,London Region,HE Qualification,20-30%,0-35,1,240,N,234,-107.0,234.0,keep,0.9090909090909091,62.72727272727273,82.0,128,7,238,28,10,2014,Feb,SocSci,Fail
BBB-2014B-148427,F,South East Region,A Level or Equivalent,20-30%,0-35,0,120,N,234,-113.0,234.0,keep,0.9090909090909091,75.0909090909091,117.0,196,6,344,57,10,2014,Feb,SocSci,Pass
BBB-2014B-155631,F,South Region,Lower Than A Level,80-90%,0-35,0,60,N,234,-89.0,234.0,keep,1.0,88.0909090909091,0.0,294,8,1116,48,10,2014,Feb,SocSci,Pass
BBB-2014B-157276,F,North Western Region,A Level or Equivalent,80-90%,35-55,0,60,N,234,-29.0,234.0,keep,0.9090909090909091,82.0909090909091,117.0,611,9,2592,101,10,2014,Feb,SocSci,Distinction
BBB-2014B-159293,M,South East Region,A Level or Equivalent,20-30%,0-35,0,120,N,234,-141.0,234.0,keep,1.0,86.81818181818181,0.0,347,8,732,101,10,2014,Feb,SocSci,Distinction
BBB-2014B-165904,F,South Region,A Level or Equivalent,30-40%,0-35,1,120,N,234,-67.0,234.0,keep,1.0,93.18181818181819,0.0,437,7,934,90,10,2014,Feb,SocSci,Distinction
BBB-2014B-171751,F,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,234,-47.0,234.0,keep,1.0,81.45454545454545,0.0,139,8,303,37,10,2014,Feb,SocSci,Pass
BBB-2014B-172137,F,Wales,A Level or Equivalent,90-100%,35-55,0,60,N,234,-24.0,234.0,keep,0.9090909090909091,75.36363636363636,194.0,530,7,1846,97,10,2014,Feb,SocSci,Pass
BBB-2014B-185021,F,East Anglian Region,Lower Than A Level,80-90%,0-35,1,60,N,234,-96.0,234.0,keep,0.7272727272727273,50.36363636363637,428.0,42,6,87,9,10,2014,Feb,SocSci,Pass
BBB-2014B-186565,F,East Midlands Region,A Level or Equivalent,10-20,0-35,1,120,N,234,-33.0,234.0,keep,0.2727272727272727,18.727272727272727,1055.0,182,8,609,36,10,2014,Feb,SocSci,Fail
BBB-2014B-187257,F,South Region,HE Qualification,50-60%,35-55,0,60,N,234,-3.0,234.0,keep,0.9090909090909091,73.54545454545455,152.0,150,7,315,43,10,2014,Feb,SocSci,Pass
BBB-2014B-187601,F,South West Region,A Level or Equivalent,80-90%,35-55,0,135,N,234,-33.0,234.0,keep,0.9090909090909091,76.0909090909091,194.0,341,7,1676,70,10,2014,Feb,SocSci,Pass
BBB-2014B-189035,F,East Midlands Region,Lower Than A Level,60-70%,0-35,0,60,N,234,-32.0,234.0,keep,0.9090909090909091,74.0,117.0,368,9,899,96,10,2014,Feb,SocSci,Pass
BBB-2014B-190352,F,North Region,No Formal quals,10-20,0-35,0,60,N,234,-36.0,234.0,keep,0.9090909090909091,62.54545454545455,152.0,108,7,210,30,10,2014,Feb,SocSci,Fail
BBB-2014B-201431,F,Wales,Lower Than A Level,50-60%,35-55,0,120,N,234,-36.0,234.0,keep,0.9090909090909091,80.36363636363636,82.0,118,6,300,35,10,2014,Feb,SocSci,Pass
BBB-2014B-202394,F,Wales,A Level or Equivalent,40-50%,0-35,0,60,N,234,-30.0,234.0,keep,1.0,86.54545454545455,0.0,396,7,1059,81,10,2014,Feb,SocSci,Distinction
BBB-2014B-206003,F,South East Region,A Level or Equivalent,40-50%,35-55,0,60,N,234,-24.0,234.0,keep,1.0,89.18181818181819,0.0,226,8,798,41,10,2014,Feb,SocSci,Distinction
BBB-2014B-226747,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,234,-61.0,234.0,keep,1.0,87.63636363636364,0.0,220,7,616,42,10,2014,Feb,SocSci,Distinction
BBB-2014B-228481,F,London Region,A Level or Equivalent,80-90%,0-35,0,90,N,234,-96.0,234.0,keep,0.8181818181818182,61.45454545454545,346.0,380,8,900,76,10,2014,Feb,SocSci,Pass
BBB-2014B-228784,F,Ireland,Lower Than A Level,10-20,0-35,3,120,N,234,-30.0,234.0,keep,1.0,81.0,0.0,247,7,542,70,10,2014,Feb,SocSci,Pass
BBB-2014B-228824,F,Wales,HE Qualification,20-30%,0-35,0,120,N,234,-59.0,234.0,keep,0.9090909090909091,67.0,194.0,249,7,693,51,10,2014,Feb,SocSci,Pass
BBB-2014B-232539,F,South East Region,Lower Than A Level,20-30%,0-35,0,60,N,234,-36.0,234.0,keep,1.0,86.45454545454545,0.0,289,7,623,51,10,2014,Feb,SocSci,Distinction
BBB-2014B-233095,F,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,234,-107.0,234.0,keep,0.9090909090909091,69.81818181818181,152.0,77,7,194,18,10,2014,Feb,SocSci,Pass
BBB-2014B-233102,F,South East Region,Lower Than A Level,30-40%,0-35,1,240,N,234,-145.0,234.0,keep,0.9090909090909091,79.18181818181819,117.0,304,8,695,77,10,2014,Feb,SocSci,Pass
BBB-2014B-235380,F,South Region,Lower Than A Level,70-80%,0-35,0,60,N,234,-31.0,234.0,keep,0.5454545454545454,41.09090909090909,774.0,135,9,370,23,10,2014,Feb,SocSci,Fail
BBB-2014B-236161,F,South Region,A Level or Equivalent,90-100%,35-55,0,60,N,234,-24.0,234.0,keep,1.0,81.36363636363636,0.0,281,9,679,55,10,2014,Feb,SocSci,Pass
BBB-2014B-242390,F,London Region,Lower Than A Level,10-20,0-35,1,60,N,234,-51.0,234.0,keep,0.36363636363636365,29.09090909090909,973.0,75,6,137,23,10,2014,Feb,SocSci,Fail
BBB-2014B-244064,F,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,234,-87.0,234.0,keep,1.0,84.9090909090909,0.0,240,7,607,50,10,2014,Feb,SocSci,Distinction
BBB-2014B-247292,F,Wales,Lower Than A Level,40-50%,35-55,0,60,N,234,-54.0,234.0,keep,0.8181818181818182,64.0,388.0,553,7,2204,134,10,2014,Feb,SocSci,Pass
BBB-2014B-247513,F,East Midlands Region,HE Qualification,40-50%,35-55,0,60,N,234,-54.0,234.0,keep,0.9090909090909091,85.45454545454545,152.0,231,7,589,50,10,2014,Feb,SocSci,Pass
BBB-2014B-250123,F,South Region,Lower Than A Level,0-10%,0-35,0,120,Y,234,-58.0,234.0,keep,1.0,85.54545454545455,0.0,77,6,163,36,10,2014,Feb,SocSci,Distinction
BBB-2014B-264106,F,South Region,Lower Than A Level,90-100%,35-55,0,120,N,234,-106.0,234.0,keep,0.9090909090909091,60.09090909090909,194.0,68,7,154,15,10,2014,Feb,SocSci,Pass
BBB-2014B-268301,M,Scotland,HE Qualification,60-70%,35-55,0,75,N,234,-71.0,234.0,keep,1.0,89.27272727272727,0.0,379,8,861,63,10,2014,Feb,SocSci,Distinction
BBB-2014B-275112,F,Wales,No Formal quals,0-10%,35-55,3,120,N,234,-127.0,234.0,keep,0.8181818181818182,8.636363636363637,346.0,121,7,514,25,10,2014,Feb,SocSci,Fail
BBB-2014B-282713,F,London Region,HE Qualification,0-10%,35-55,0,60,N,234,-75.0,234.0,keep,1.0,70.0909090909091,0.0,239,10,652,62,10,2014,Feb,SocSci,Pass
BBB-2014B-283131,M,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,60,N,234,-31.0,234.0,keep,0.7272727272727273,62.0,540.0,175,8,386,34,10,2014,Feb,SocSci,Fail
BBB-2014B-283564,F,East Anglian Region,Lower Than A Level,10-20,0-35,0,60,N,234,-127.0,234.0,keep,0.8181818181818182,51.90909090909091,304.0,220,7,531,55,10,2014,Feb,SocSci,Fail
BBB-2014B-283978,F,South West Region,A Level or Equivalent,20-30%,35-55,5,150,Y,234,-60.0,234.0,keep,0.2727272727272727,21.818181818181817,978.0,19,3,42,4,10,2014,Feb,SocSci,Fail
BBB-2014B-285567,F,South West Region,Lower Than A Level,40-50%,35-55,0,90,N,234,-179.0,234.0,keep,1.0,85.45454545454545,0.0,932,8,2655,118,10,2014,Feb,SocSci,Pass
BBB-2014B-286914,F,South Region,HE Qualification,40-50%,35-55,0,60,N,234,-73.0,234.0,keep,0.8181818181818182,71.81818181818181,276.0,230,6,485,43,10,2014,Feb,SocSci,Pass
BBB-2014B-288967,M,South East Region,Lower Than A Level,20-30%,35-55,0,60,N,234,-29.0,234.0,keep,0.8181818181818182,71.54545454545455,388.0,340,7,660,84,10,2014,Feb,SocSci,Pass
BBB-2014B-289108,F,Wales,A Level or Equivalent,30-40%,35-55,1,60,N,234,3.0,234.0,keep,0.9090909090909091,66.45454545454545,152.0,546,9,1444,71,10,2014,Feb,SocSci,Pass
BBB-2014B-291848,F,Wales,HE Qualification,30-40%,35-55,3,120,N,234,-58.0,234.0,keep,0.36363636363636365,16.90909090909091,938.0,69,7,134,14,10,2014,Feb,SocSci,Fail
BBB-2014B-293992,F,East Midlands Region,A Level or Equivalent,90-100%,0-35,0,60,N,234,-36.0,234.0,keep,0.9090909090909091,64.9090909090909,152.0,150,7,378,37,10,2014,Feb,SocSci,Pass
BBB-2014B-294513,F,Wales,HE Qualification,80-90%,0-35,0,60,N,234,-24.0,234.0,keep,0.9090909090909091,82.27272727272727,194.0,520,7,1644,97,10,2014,Feb,SocSci,Distinction
BBB-2014B-295728,F,Wales,Lower Than A Level,20-30%,0-35,2,120,N,234,-79.0,234.0,keep,0.7272727272727273,39.90909090909091,540.0,102,7,288,27,10,2014,Feb,SocSci,Fail
BBB-2014B-296232,F,South West Region,A Level or Equivalent,80-90%,0-35,0,60,N,234,-31.0,234.0,keep,0.9090909090909091,71.9090909090909,152.0,249,7,600,54,10,2014,Feb,SocSci,Pass
BBB-2014B-304607,F,South Region,A Level or Equivalent,70-80%,35-55,0,60,N,234,-110.0,234.0,keep,0.45454545454545453,37.63636363636363,926.0,145,5,238,55,10,2014,Feb,SocSci,Fail
BBB-2014B-305373,F,London Region,Lower Than A Level,0-10%,0-35,0,150,Y,234,-110.0,234.0,keep,0.6363636363636364,55.63636363636363,545.0,127,7,320,32,10,2014,Feb,SocSci,Fail
BBB-2014B-307386,F,Ireland,HE Qualification,50-60%,0-35,2,180,N,234,-94.0,234.0,keep,0.7272727272727273,59.90909090909091,428.0,79,7,222,28,10,2014,Feb,SocSci,Pass
BBB-2014B-308345,F,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,60,N,234,-17.0,234.0,keep,0.18181818181818182,14.363636363636363,1137.0,108,8,479,21,10,2014,Feb,SocSci,Fail
BBB-2014B-311599,F,London Region,A Level or Equivalent,90-100%,0-35,0,120,N,234,-36.0,234.0,keep,1.0,90.54545454545455,0.0,134,7,264,38,10,2014,Feb,SocSci,Pass
BBB-2014B-311889,F,Wales,HE Qualification,10-20,35-55,0,60,N,234,-24.0,234.0,keep,1.0,62.72727272727273,0.0,106,8,245,17,10,2014,Feb,SocSci,Fail
BBB-2014B-313246,F,South West Region,A Level or Equivalent,70-80%,0-35,0,60,N,234,-128.0,234.0,keep,0.5454545454545454,37.18181818181818,515.0,63,7,177,19,10,2014,Feb,SocSci,Pass
BBB-2014B-318500,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,234,-289.0,234.0,keep,0.9090909090909091,68.72727272727273,117.0,153,7,481,41,10,2014,Feb,SocSci,Fail
BBB-2014B-318876,F,London Region,A Level or Equivalent,40-50%,35-55,0,150,N,234,-179.0,234.0,keep,1.0,87.81818181818181,0.0,239,8,587,45,10,2014,Feb,SocSci,Pass
BBB-2014B-319606,F,Ireland,A Level or Equivalent,30-40%,0-35,3,60,N,234,-60.0,234.0,keep,1.0,76.0,0.0,85,7,185,14,10,2014,Feb,SocSci,Fail
BBB-2014B-320363,F,South Region,Lower Than A Level,20-30%,35-55,0,60,N,234,-79.0,234.0,keep,1.0,60.63636363636363,0.0,60,7,150,8,10,2014,Feb,SocSci,Fail
BBB-2014B-321121,F,West Midlands Region,Lower Than A Level,40-50%,0-35,1,120,N,234,-73.0,234.0,keep,1.0,83.9090909090909,0.0,152,7,330,33,10,2014,Feb,SocSci,Pass
BBB-2014B-321346,F,North Western Region,A Level or Equivalent,0-10%,0-35,0,120,Y,234,-87.0,234.0,keep,1.0,84.0,0.0,212,7,583,35,10,2014,Feb,SocSci,Pass
BBB-2014B-322509,F,South Region,A Level or Equivalent,40-50%,0-35,0,60,N,234,-113.0,234.0,keep,1.0,74.63636363636364,0.0,378,7,898,95,10,2014,Feb,SocSci,Pass
BBB-2014B-324907,F,Wales,Lower Than A Level,0-10%,35-55,0,60,N,234,-96.0,234.0,keep,1.0,78.9090909090909,0.0,216,7,550,47,10,2014,Feb,SocSci,Pass
BBB-2014B-325080,F,East Midlands Region,A Level or Equivalent,90-100%,0-35,0,120,N,234,-64.0,234.0,keep,1.0,80.9090909090909,0.0,416,7,1332,81,10,2014,Feb,SocSci,Pass
BBB-2014B-325308,F,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,60,N,234,-103.0,234.0,keep,0.5454545454545454,45.0,592.0,34,6,74,10,10,2014,Feb,SocSci,Distinction
BBB-2014B-327003,F,South Region,HE Qualification,80-90%,0-35,0,90,N,234,-124.0,234.0,keep,1.0,81.18181818181819,0.0,377,9,1651,78,10,2014,Feb,SocSci,Distinction
BBB-2014B-327641,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,60,N,234,-135.0,234.0,keep,1.0,65.9090909090909,0.0,66,6,139,15,10,2014,Feb,SocSci,Pass
